Wall time,Step,Value
1730255301.0371532,43599,528.6802978515625
1730255313.735803,43999,528.694091796875
1730255330.444157,44399,528.6643676757812
1730255343.8250847,44799,528.6874389648438
1730255360.860005,45199,528.70263671875
1730255373.5631661,45599,528.6828002929688
1730255386.3049736,45999,528.673828125
1730255403.3459816,46399,528.68115234375
1730255416.7653072,46799,528.6494140625
1730255433.5234728,47199,528.6326293945312
1730255446.3402708,47599,528.6103515625
1730255459.5626333,47999,528.625732421875
1730255476.9568021,48399,528.6198120117188
1730255489.7941437,48799,528.5961303710938
1730255506.436645,49199,528.5875244140625
1730255519.0969248,49599,528.5442504882812
1730255532.0115035,49999,528.51806640625
1730255549.389719,50399,528.517333984375
1730255562.2375083,50799,528.5640258789062
1730255579.3359365,51199,528.5593872070312
1730255592.291905,51599,528.5661010742188
1730255605.0502179,51999,528.5769653320312
1730255622.3525262,52399,528.6034545898438
1730255635.3280358,52799,528.5501708984375
1730255651.961598,53199,528.5533447265625
1730255664.7451339,53599,528.5777587890625
1730255677.4392807,53999,528.5720825195312
1730255694.8752835,54399,528.5835571289062
1730255707.7031467,54799,528.5700073242188
1730255724.306247,55199,528.5731201171875
1730255737.045344,55599,528.569091796875
1730255750.2890122,55999,528.5595092773438
1730255767.1146922,56399,528.54833984375
1730255779.8980534,56799,528.576171875
1730255796.6817803,57199,528.5808715820312
1730255810.0006971,57599,528.5982666015625
1730255823.307176,57999,528.5830688476562
1730255840.092882,58399,528.6158447265625
1730255852.85666,58799,528.6286010742188
1730255870.6288865,59199,528.6461181640625
1730255883.3633454,59599,528.6771850585938
1730255896.1328552,59999,528.6716918945312
1730255912.6361816,60399,528.6812133789062
1730255925.615595,60799,528.6483154296875
1730255943.3472712,61199,528.6396484375
1730255956.2139459,61599,528.6450805664062
1730255968.9451528,61999,528.6388549804688
1730255985.7696006,62399,528.6273803710938
1730255998.5455787,62799,528.6309204101562
1730256016.2030373,63199,528.6398315429688
1730256029.0563583,63599,528.6217651367188
1730256041.8058546,63999,528.6275634765625
1730256058.967071,64399,528.638916015625
1730256071.7519412,64799,528.6414794921875
1730256089.290262,65199,528.6283569335938
1730256102.0676773,65599,528.6387939453125
1730256114.763706,65999,528.6485595703125
1730256131.468156,66399,528.63134765625
1730256144.920287,66799,528.62744140625
1730256161.8313572,67199,528.626708984375
1730256175.1707368,67599,528.6371459960938
1730256188.1391368,67999,528.6354370117188
1730256205.730129,68399,528.6251831054688
1730256218.569903,68799,528.6307373046875
1730256235.7853656,69199,528.6368408203125
1730256248.773701,69599,528.6342163085938
1730256261.737629,69999,528.6455688476562
1730256279.2897189,70399,528.6353149414062
1730256292.264634,70799,528.6467895507812
1730256309.2895126,71199,528.6376953125
1730256322.2718449,71599,528.6292724609375
